Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Investment Title,Project ID,Agency Project ID,Project Name,Start Date,Start Year,Completion Date (B1),Completion Date,Duration,Planned Project Completion Date (B2),Projected/Actual Project Completion Date (B2),Lifecycle Cost,Schedule Variance (in days),Schedule Variance (%),Cost Variance ($ M),Cost Variance (%),Planned Cost ($ M),Projected/Actual Cost ($ M),Updated Date,Updated Time,Unique Project ID
005-000001234,221,5,Department of Agriculture,Consolidated General Sales Manager (CGSM) #107,1652,,GSM Migration,2011-01-07T00:00:00Z,2011,2012-09-30T00:00:00Z,2012,631,,,1.451,0,0,0.241,16.61,1.451,1.21,2012-01-08T00:00:00Z,1970-01-01T13:21:51Z,GSM-002
005-000000065,224,5,Department of Agriculture,Enterprise Shared Services,1945,,FY2012 Operations.,2011-01-10T00:00:00Z,2011,2012-09-30T00:00:00Z,2012,628,,,16.498,0,0,16.498,100,16.498,0,2011-09-26T00:00:00Z,1970-01-01T12:26:32Z,FY12OPS
005-000001870,225,5,Department of Agriculture,Farm Program Modernization (MIDAS) #097,1676,,Initial Operating Capability (IOC) Deployment,2011-01-07T00:00:00Z,2011,2012-09-30T00:00:00Z,2012,631,,,119.098812,0,0,-3.119485,-2.62,119.099001,122.218486,2012-02-28T00:00:00Z,1970-01-01T11:25:27Z,1
005-000001729,226,5,Department of Agriculture,"FAS Infrastructure, Office Automation, and Telecommunications (IOAT)",1684,,AGxEDCx,2011-07-20T00:00:00Z,2011,2012-07-19T00:00:00Z,2012,365,,,7.276,-92,-37.86,0,0,7.276,7.276,2011-12-28T00:00:00Z,1970-01-01T09:29:28Z,1
005-000001729,226,5,Department of Agriculture,"FAS Infrastructure, Office Automation, and Telecommunications (IOAT)",1685,,O&M,2011-01-10T00:00:00Z,2011,2012-09-30T00:00:00Z,2012,628,,,16.248,0,0,0,0,16.248,16.248,2011-12-28T00:00:00Z,1970-01-01T09:29:28Z,2
005-000001425,227,5,Department of Agriculture,Financial Management Modernization Initiative (FMMI),1969,,FMMI Deployment 3,2011-01-10T00:00:00Z,2011,2012-03-31T00:00:00Z,2012,445,2012-03-31T00:00:00Z,2012-03-31T00:00:00Z,8.942,0,0,-4.965862,-274.18,1.811138,6.777,2012-06-30T00:00:00Z,1970-01-01T14:57:47Z,01/10/2327
005-000001425,227,5,Department of Agriculture,Financial Management Modernization Initiative (FMMI),2937,,FMMI Deployment 3 Wave 1,2012-02-04T00:00:00Z,2012,2012-05-31T00:00:00Z,2012,116,2012-05-31T00:00:00Z,2012-05-31T00:00:00Z,1.602,0,0,-0.583,-36.41,1.601,2.184,2012-01-08T00:00:00Z,1970-01-01T13:22:28Z,01/04/2327
005-000001425,227,5,Department of Agriculture,Financial Management Modernization Initiative (FMMI),3261,,FMMI Deployment 3 Wave 2,2012-01-06T00:00:00Z,2012,2012-12-31T00:00:00Z,2012,360,2012-08-31T00:00:00Z,2012-08-31T00:00:00Z,7.32,0,0,0,0,5.09,5.09,2012-01-08T00:00:00Z,1970-01-01T13:22:28Z,02/06/2317
005-000001718,228,5,Department of Agriculture,FNCS IT Infrastructure,1097,,FNCS IT Infrastructure Operations and Maintenance FY2012,2011-01-10T00:00:00Z,2011,2012-09-30T00:00:00Z,2012,628,,,21.04546,0,0,-3.5E-5,0,21.04546,21.045495,2012-01-08T00:00:00Z,1970-01-01T13:22:11Z,FNS1718OM
005-000001496,229,5,Department of Agriculture,FPA-P2 - Fire Program Analysis System - Phase 2,1740,,FPA-P2 - Fire Program Analysis System - Phase 2,2005-01-01T00:00:00Z,2005,2020-01-10T00:00:00Z,2020,5487,2012-03-31T00:00:00Z,2012-03-31T00:00:00Z,71.42413,-153,-41.92,0,0,0.735925,0.735925,2012-01-30T00:00:00Z,1970-01-01T11:12:16Z,1
005-000000083,230,5,Department of Agriculture,Public Health Data Communications Infrastructure System (PHDCIS),1939,,Desktop GSS,2006-01-10T00:00:00Z,2006,2018-09-30T00:00:00Z,2018,4645,,,242.984,-62,-22.71,0,0,11.441,11.441,2012-02-28T00:00:00Z,1970-01-01T11:27:27Z,PHDCIS-DSK
005-000000083,230,5,Department of Agriculture,Public Health Data Communications Infrastructure System (PHDCIS),1940,,Data Warehouse GSS,2006-01-10T00:00:00Z,2006,2018-09-30T00:00:00Z,2018,4645,,,242.985,0,0,0,0,11.441,11.441,2012-02-28T00:00:00Z,1970-01-01T11:27:27Z,PHDCIS-DTW
005-000000083,230,5,Department of Agriculture,Public Health Data Communications Infrastructure System (PHDCIS),1941,,Enterprise GSS,2006-01-10T00:00:00Z,2006,2018-09-30T00:00:00Z,2018,4645,,,242.985,-62,-22.71,0,0,11.442,11.442,2012-02-28T00:00:00Z,1970-01-01T11:27:27Z,PHDCIS-ENT
005-000000083,230,5,Department of Agriculture,Public Health Data Communications Infrastructure System (PHDCIS),1942,,FPS GSS,2006-01-10T00:00:00Z,2006,2018-09-30T00:00:00Z,2018,4645,,,242.984,0,0,0,0,11.441,11.441,2012-02-28T00:00:00Z,1970-01-01T11:27:27Z,PHDCIS-FPS
005-000000083,230,5,Department of Agriculture,Public Health Data Communications Infrastructure System (PHDCIS),1943,,HR GSS,2006-01-10T00:00:00Z,2006,2018-09-30T00:00:00Z,2018,4645,,,242.984,0,0,0,0,11.441,11.441,2012-02-28T00:00:00Z,1970-01-01T11:27:27Z,PHDCIS-HR
005-000000083,230,5,Department of Agriculture,Public Health Data Communications Infrastructure System (PHDCIS),1944,,Network GSS,2006-01-10T00:00:00Z,2006,2018-09-30T00:00:00Z,2018,4645,,,242.985,0,0,0,0,5.656,5.656,2012-02-28T00:00:00Z,1970-01-01T11:27:28Z,PHDCIS-NWK
005-000002148,231,5,Department of Agriculture,FSIS Public Health Information Consolidation Projects (PHICP),1746,,Public Health Information System,2007-09-27T00:00:00Z,2007,2018-12-30T00:00:00Z,2018,4112,2012-09-21T00:00:00Z,2012-09-21T00:00:00Z,141.478,0,0,0,0,0.00225,0.00225,2012-02-28T00:00:00Z,1970-01-01T11:24:53Z,PHICP-PHIS
005-999991841,234,5,Department of Agriculture,Human Resources Line of Business:  Service Center,1769,,WebTA,2011-01-06T00:00:00Z,2011,2012-02-29T00:00:00Z,2012,419,2012-02-29T00:00:00Z,2012-02-29T00:00:00Z,16.374,-184,-67.4,6.489,39.63,16.374,9.885,2012-02-28T00:00:00Z,1970-01-01T14:17:14Z,1
005-999991841,234,5,Department of Agriculture,Human Resources Line of Business:  Service Center,1770,,EmpowHR Migration,2011-01-06T00:00:00Z,2011,2012-02-29T00:00:00Z,2012,419,2012-02-29T00:00:00Z,2012-02-29T00:00:00Z,1071.255,-184,-67.4,688.454,64.27,1071.255,382.801,2012-02-28T00:00:00Z,1970-01-01T14:17:14Z,2
005-000002328,235,5,Department of Agriculture,IBS - Incident Business System,1767,,Provision of O&M Services,2011-01-10T00:00:00Z,2011,2012-09-30T00:00:00Z,2012,628,,,2.7036,0,0,0,0,2.7036,2.7036,2011-09-23T00:00:00Z,1970-01-01T18:22:03Z,1
005-000000039,236,5,Department of Agriculture,Integrated Acquisition System (IAS) (OPPM),1099,,eAuthentication,2011-02-14T00:00:00Z,2011,2011-12-30T00:00:00Z,2011,319,2011-12-30T00:00:00Z,2012-05-17T00:00:00Z,0.7,-139,-75.96,0,0,0.7,0.7,2012-06-30T00:00:00Z,1970-01-01T14:58:03Z,2
005-000000039,236,5,Department of Agriculture,Integrated Acquisition System (IAS) (OPPM),1101,,FMMI Conversion,2011-08-15T00:00:00Z,2011,2011-12-30T00:00:00Z,2011,137,2011-12-30T00:00:00Z,2012-10-31T00:00:00Z,0.15,-306,-223.36,0,0,0.15,0.15,2012-02-28T00:00:00Z,1970-01-01T14:31:34Z,4
005-000000039,236,5,Department of Agriculture,Integrated Acquisition System (IAS) (OPPM),1102,,Oracle Discoverer,2011-03-10T00:00:00Z,2011,2012-03-30T00:00:00Z,2012,385,2012-03-30T00:00:00Z,2012-05-21T00:00:00Z,0.35,-52,-29.05,0,0,0.35,0.35,2012-06-30T00:00:00Z,1970-01-01T14:58:03Z,5
005-000000047,237,5,Department of Agriculture,Integrated Program Accounting System (IPAS),1104,,IPAS Operations and Maintenance FY2012,2011-01-10T00:00:00Z,2011,2012-09-30T00:00:00Z,2012,628,,,8.210163,0,0,-9.0E-6,0,8.210163,8.210172,2012-01-08T00:00:00Z,1970-01-01T13:23:00Z,FNS47OM12
005-000002152,238,5,Department of Agriculture,NASS Survey Processing System,1105,,Survey Processing Systems operations.,2004-09-30T00:00:00Z,2004,2013-09-30T00:00:00Z,2013,3287,,,65.733,0,0,0,0,3.412,3.412,2012-01-08T00:00:00Z,1970-01-01T13:23:05Z,NASSSurvey
005-000001659,239,6,Department of Agriculture,Animal Disease Traceability Information System (ADTIS),672,,FISMA Compliance FY12.,2011-01-09T00:00:00Z,2011,2012-09-30T00:00:00Z,2012,629,2012-03-31T00:00:00Z,2012-01-09T00:00:00Z,0.03,-154,-84.62,0,0,0.03,0.03,2012-02-28T00:00:00Z,1970-01-01T11:22:25Z,ADT9010001
005-000001659,239,5,Department of Agriculture,Animal Disease Traceability Information System (ADTIS),673,,FTE Support FY12.,2011-07-02T00:00:00Z,2011,2012-09-30T00:00:00Z,2012,456,2012-03-31T00:00:00Z,2012-03-31T00:00:00Z,0.7,-153,-36.96,0,0,0.7,0.7,2012-02-28T00:00:00Z,1970-01-01T11:22:25Z,ADT9010002
005-000001659,239,5,Department of Agriculture,Animal Disease Traceability Information System (ADTIS),674,,Acquisition Support FY12.,2011-01-09T00:00:00Z,2011,2012-09-30T00:00:00Z,2012,629,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,1.017,0,0,0,0,1.017,1.017,2012-05-31T00:00:00Z,1970-01-01T14:20:14Z,ADT9010003
005-000002223,242,5,Department of Agriculture,NRM - Natural Resource Manager,1106,,NRM Customer Relations Operations,2011-01-10T00:00:00Z,2011,2012-09-30T00:00:00Z,2012,628,,,4.885,0,0,0,0,4.884,4.884,2011-11-30T00:00:00Z,1970-01-01T06:10:30Z,2223-CRO
005-000002223,242,5,Department of Agriculture,NRM - Natural Resource Manager,1107,,NRM Data Center Operations,2011-01-10T00:00:00Z,2011,2012-09-30T00:00:00Z,2012,628,,,7.02,0,0,0,0,7.018,7.018,2011-11-30T00:00:00Z,1970-01-01T06:10:30Z,2223-DCO
005-000002223,242,5,Department of Agriculture,NRM - Natural Resource Manager,1108,,"NRM Release 5.7 (February, 2012)",2011-01-10T00:00:00Z,2011,2012-02-29T00:00:00Z,2012,415,2012-02-29T00:00:00Z,2012-02-29T00:00:00Z,6.958,-184,-121.85,0,0,6.958,6.958,2012-04-30T00:00:00Z,1970-01-01T11:15:04Z,2223-R57
005-000002223,242,5,Department of Agriculture,NRM - Natural Resource Manager,1109,,"NRM Release 5.8 (May, 2012)",2012-01-03T00:00:00Z,2012,2012-05-31T00:00:00Z,2012,148,2012-05-31T00:00:00Z,2012-05-31T00:00:00Z,4.175,-92,-101.1,0,0,4.175,4.175,2012-04-30T00:00:00Z,1970-01-01T11:15:04Z,2223-R58
005-000002223,242,5,Department of Agriculture,NRM - Natural Resource Manager,1110,,"NRM Release 5.9 (August, 2012)",2012-01-06T00:00:00Z,2012,2012-08-31T00:00:00Z,2012,237,,,4.175,0,0,0,0,4.175,4.175,2011-09-22T00:00:00Z,1970-01-01T14:32:48Z,2223-R59
005-000002223,242,5,Department of Agriculture,NRM - Natural Resource Manager,1111,,NRM Release 6.0 (September 2012),2012-01-09T00:00:00Z,2012,2012-09-30T00:00:00Z,2012,264,,,1.392,0,0,0,0,1.391,1.391,2011-09-22T00:00:00Z,1970-01-01T14:32:49Z,2223-R60
005-000002223,242,5,Department of Agriculture,NRM - Natural Resource Manager,1112,,FY2011 Year End Reporting,2011-01-10T00:00:00Z,2011,2011-12-31T00:00:00Z,2011,355,2011-12-31T00:00:00Z,2012-02-29T00:00:00Z,0.2,-244,-268.13,0,0,0.2,0.2,2012-03-30T00:00:00Z,1970-01-01T07:09:11Z,2223-YE11
005-000002223,242,5,Department of Agriculture,NRM - Natural Resource Manager,1113,,FY2012 Year End Reporting,2012-01-08T00:00:00Z,2012,2012-12-31T00:00:00Z,2012,358,,,0.4,0,0,0,0,0.3,0.3,2011-09-22T00:00:00Z,1970-01-01T14:32:49Z,2223-YE12
005-000002321,243,5,Department of Agriculture,Optimized Computing Environment (OCE),1686,,Data Centers - Agency Availability and DR Capacity Buildout: Planning,2012-06-15T00:00:00Z,2012,2012-12-14T00:00:00Z,2012,182,,,0.540347,0,0,0,0,0.540347,0.540347,2012-01-30T00:00:00Z,1970-01-01T11:12:21Z,OCE-DC-01
005-000002321,243,5,Department of Agriculture,Optimized Computing Environment (OCE),1687,,Data Centers - Web Farm Hardware Refresh: Planning,2012-06-15T00:00:00Z,2012,2012-12-14T00:00:00Z,2012,182,,,0.835822,0,0,0,0,0.835822,0.835822,2012-01-30T00:00:00Z,1970-01-01T11:12:21Z,OCE-DC-03
005-000002321,243,5,Department of Agriculture,Optimized Computing Environment (OCE),1688,,Data Centers - Web Farm Hardware Refresh: Acquisition Phase 1,2012-01-08T00:00:00Z,2012,2013-01-31T00:00:00Z,2013,389,,,2.163072,0,0,0,0,2.163072,2.163072,2012-01-30T00:00:00Z,1970-01-01T11:12:21Z,OCE-DC-04
005-000002321,243,5,Department of Agriculture,Optimized Computing Environment (OCE),1689,,Enterprise Management - Network Capacity and Performance Monitoring: Acquisition,2012-01-08T00:00:00Z,2012,2012-11-30T00:00:00Z,2012,327,,,0.108154,0,0,0,0,0.108154,0.108154,2012-01-30T00:00:00Z,1970-01-01T11:12:21Z,OCE-EM-01
005-000002321,243,5,Department of Agriculture,Optimized Computing Environment (OCE),1690,,Enterprise Management - NOC: Planning,2012-01-08T00:00:00Z,2012,2013-01-31T00:00:00Z,2013,389,,,0.689479,0,0,0,0,0.689479,0.689479,2012-01-30T00:00:00Z,1970-01-01T11:12:21Z,OCE-EM-03
005-000002321,243,5,Department of Agriculture,Optimized Computing Environment (OCE),1691,,Enterprise Management - ITSM: Acquisition - Phase 1,2012-01-08T00:00:00Z,2012,2013-01-31T00:00:00Z,2013,389,,,1.622304,0,0,0,0,1.622304,1.622304,2012-01-30T00:00:00Z,1970-01-01T11:12:21Z,OCE-EM-09
005-000002321,243,5,Department of Agriculture,Optimized Computing Environment (OCE),1692,,Enterprise Management - Perimeter Security: Planning,2012-06-15T00:00:00Z,2012,2012-12-14T00:00:00Z,2012,182,,,0.627291,0,0,0,0,0.627291,0.627291,2012-01-30T00:00:00Z,1970-01-01T11:12:21Z,OCE-EM-12
005-000002321,243,5,Department of Agriculture,Optimized Computing Environment (OCE),1693,,Enterprise Management - Perimeter Security: Acquisition,2012-08-15T00:00:00Z,2012,2013-01-31T00:00:00Z,2013,169,,,1.232951,0,0,0,0,1.232951,1.232951,2012-01-30T00:00:00Z,1970-01-01T11:12:21Z,OCE-EM-13
005-000002321,243,5,Department of Agriculture,Optimized Computing Environment (OCE),1694,,Enterprise Management - Network Access Control: Planning,2012-08-15T00:00:00Z,2012,2013-01-31T00:00:00Z,2013,169,,,0.541523,0,0,0,0,0.541523,0.541523,2012-01-30T00:00:00Z,1970-01-01T11:12:21Z,OCE-EM-14
005-000002321,243,5,Department of Agriculture,Optimized Computing Environment (OCE),1695,,End User Devices - Thin Client: Planning,2012-01-08T00:00:00Z,2012,2013-01-31T00:00:00Z,2013,389,,,1.39304,0,0,0,0,1.39304,1.39304,2012-01-30T00:00:00Z,1970-01-01T11:12:21Z,OCE-EU-01
005-000002321,243,5,Department of Agriculture,Optimized Computing Environment (OCE),1696,,End User Devices - Enterprise User Mobility: Planning,2012-06-15T00:00:00Z,2012,2012-12-14T00:00:00Z,2012,182,,,0.182509,0,0,0,0,0.182509,0.182509,2012-01-30T00:00:00Z,1970-01-01T11:12:21Z,OCE-EU-05
005-000002321,243,5,Department of Agriculture,Optimized Computing Environment (OCE),1697,,End User Devices - End User Workstation Refresh: Acquisition - Phase 1,2012-06-15T00:00:00Z,2012,2012-11-30T00:00:00Z,2012,168,,,3.244608,0,0,0,0,3.244608,3.244608,2012-01-30T00:00:00Z,1970-01-01T11:12:21Z,OCE-EU-07
005-000002321,243,5,Department of Agriculture,Optimized Computing Environment (OCE),1698,,Office Environment - Network Acceleration: Planning,2012-06-15T00:00:00Z,2012,2012-09-14T00:00:00Z,2012,91,,,0.144069,0,0,0,0,0.144069,0.144069,2012-01-30T00:00:00Z,1970-01-01T11:12:21Z,OCE-OF-01
005-000002321,243,5,Department of Agriculture,Optimized Computing Environment (OCE),1699,,Office Environment - Network Acceleration: Acquisition - Phase 1,2012-01-08T00:00:00Z,2012,2013-01-31T00:00:00Z,2013,389,,,6.489216,0,0,0,0,6.489216,6.489216,2012-01-30T00:00:00Z,1970-01-01T11:12:21Z,OCE-OF-02
005-000002321,243,5,Department of Agriculture,Optimized Computing Environment (OCE),1700,,Office Environment - File Service Centralization (Current Capacity): Planning,2012-06-15T00:00:00Z,2012,2012-12-14T00:00:00Z,2012,182,,,0.115711,0,0,0,0,0.115711,0.115711,2012-01-30T00:00:00Z,1970-01-01T11:12:21Z,OCE-OF-04
005-000002321,243,5,Department of Agriculture,Optimized Computing Environment (OCE),1701,,Office Environment - File Service Centralization (Current Capacity): Acquisition - Phase 1,2012-01-08T00:00:00Z,2012,2013-01-31T00:00:00Z,2013,389,,,0.540768,0,0,0,0,0.540768,0.540768,2012-01-30T00:00:00Z,1970-01-01T11:12:22Z,OCE-OF-05
005-000002321,243,5,Department of Agriculture,Optimized Computing Environment (OCE),1702,,Office Environment - Domain Controller Backup: Planning,2012-06-15T00:00:00Z,2012,2012-12-14T00:00:00Z,2012,182,,,0.047588,0,0,0,0,0.047588,0.047588,2012-01-30T00:00:00Z,1970-01-01T11:12:21Z,OCE-OF-08
005-000002321,243,5,Department of Agriculture,Optimized Computing Environment (OCE),1703,,Office Environment - Domain Controller Backup: : Acquisition,2012-01-08T00:00:00Z,2012,2013-01-31T00:00:00Z,2013,389,,,0.547257,0,0,0,0,0.547257,0.547257,2012-01-30T00:00:00Z,1970-01-01T11:12:22Z,OCE-OF-09
005-000002321,243,5,Department of Agriculture,Optimized Computing Environment (OCE),1704,,Office Environment - eFax: Planning,2012-06-15T00:00:00Z,2012,2012-12-14T00:00:00Z,2012,182,,,0.146007,0,0,0,0,0.146007,0.146007,2012-01-30T00:00:00Z,1970-01-01T11:12:21Z,OCE-OF-11
005-000002321,243,5,Department of Agriculture,Optimized Computing Environment (OCE),1705,,Office Environment - eFax: Acquisition,2012-01-08T00:00:00Z,2012,2013-01-31T00:00:00Z,2013,389,,,0.146007,0,0,0,0,0.146007,0.146007,2012-01-30T00:00:00Z,1970-01-01T11:12:22Z,OCE-OF-12
